mpg,displacement,cylinders,horsepower,weight,acceleration,model_year,origin,car_name,brand
18.0,307.0,8,130.0,3504,12.0,70,USA,chevrolet chevelle malibu,chevrolet
15.0,350.0,8,165.0,3693,11.5,70,USA,buick skylark 320,buick
18.0,318.0,8,150.0,3436,11.0,70,USA,plymouth satellite,plymouth
16.0,304.0,8,150.0,3433,12.0,70,USA,amc rebel sst,amc
17.0,302.0,8,140.0,3449,10.5,70,USA,ford torino,ford
15.0,429.0,8,198.0,4341,10.0,70,USA,ford galaxie 500,ford
14.0,454.0,8,220.0,4354,9.0,70,USA,chevrolet impala,chevrolet
14.0,440.0,8,215.0,4312,8.5,70,USA,plymouth fury iii,plymouth
14.0,455.0,8,225.0,4425,10.0,70,USA,pontiac catalina,pontiac
15.0,390.0,8,190.0,3850,8.5,70,USA,amc ambassador dpl,amc
15.0,383.0,8,170.0,3563,10.0,70,USA,dodge challenger se,dodge
14.0,340.0,8,160.0,3609,8.0,70,USA,plymouth 'cuda 340,plymouth
15.0,400.0,8,150.0,3761,9.5,70,USA,chevrolet monte carlo,chevrolet
14.0,455.0,8,225.0,3086,10.0,70,USA,buick estate wagon (sw),buick
24.0,113.0,4,95.0,2372,15.0,70,Japan,toyota corona mark ii,toyota
22.0,198.0,6,95.0,2833,15.5,70,USA,plymouth duster,plymouth
18.0,199.0,6,97.0,2774,15.5,70,USA,amc hornet,amc
21.0,200.0,6,85.0,2587,16.0,70,USA,ford maverick,ford
27.0,97.0,4,88.0,2130,14.5,70,Japan,datsun pl510,datsun
26.0,97.0,4,46.0,1835,20.5,70,Europe,volkswagen 1131 deluxe sedan,volkswagen
25.0,110.0,4,87.0,2672,17.5,70,Europe,peugeot 504,peugeot
24.0,107.0,4,90.0,2430,14.5,70,Europe,audi 100 ls,audi
25.0,104.0,4,95.0,2375,17.5,70,Europe,saab 99e,saab
26.0,121.0,4,113.0,2234,12.5,70,Europe,bmw 2002,bmw
21.0,199.0,6,90.0,2648,15.0,70,USA,amc gremlin,amc
10.0,360.0,8,215.0,4615,14.0,70,USA,ford f250,ford
10.0,307.0,8,200.0,4376,15.0,70,USA,chevy c20,chevrolet
11.0,318.0,8,210.0,4382,13.5,70,USA,dodge d200,dodge
9.0,304.0,8,193.0,4732,18.5,70,USA,hi 1200d,hi
27.0,97.0,4,88.0,2130,14.5,71,Japan,datsun pl510,datsun
28.0,140.0,4,90.0,2264,15.5,71,USA,chevrolet vega 2300,chevrolet
25.0,113.0,4,95.0,2228,14.0,71,Japan,toyota corona,toyota
25.0,98.0,4,93.5,2046,19.0,71,USA,ford pinto,ford
19.0,232.0,6,100.0,2634,13.0,71,USA,amc gremlin,amc
16.0,225.0,6,105.0,3439,15.5,71,USA,plymouth satellite custom,plymouth
17.0,250.0,6,100.0,3329,15.5,71,USA,chevrolet chevelle malibu,chevrolet
19.0,250.0,6,88.0,3302,15.5,71,USA,ford torino 500,ford
18.0,232.0,6,100.0,3288,15.5,71,USA,amc matador,amc
14.0,350.0,8,165.0,4209,12.0,71,USA,chevrolet impala,chevrolet
14.0,400.0,8,175.0,4464,11.5,71,USA,pontiac catalina brougham,pontiac
14.0,351.0,8,153.0,4154,13.5,71,USA,ford galaxie 500,ford
14.0,318.0,8,150.0,4096,13.0,71,USA,plymouth fury iii,plymouth
12.0,383.0,8,180.0,4955,11.5,71,USA,dodge monaco (sw),dodge
13.0,400.0,8,170.0,4746,12.0,71,USA,ford country squire (sw),ford
13.0,400.0,8,175.0,5140,12.0,71,USA,pontiac safari (sw),pontiac
18.0,258.0,6,110.0,2962,13.5,71,USA,amc hornet sportabout (sw),amc
22.0,140.0,4,72.0,2408,19.0,71,USA,chevrolet vega (sw),chevrolet
19.0,250.0,6,100.0,3282,15.0,71,USA,pontiac firebird,pontiac
18.0,250.0,6,88.0,3139,14.5,71,USA,ford mustang,ford
23.0,122.0,4,86.0,2220,14.0,71,USA,mercury capri 2000,mercury
28.0,116.0,4,90.0,2123,14.0,71,Europe,opel 1900,opel
30.0,79.0,4,70.0,2074,19.5,71,Europe,peugeot 304,peugeot
30.0,88.0,4,76.0,2065,14.5,71,Europe,fiat 124b,fiat
31.0,71.0,4,65.0,1773,19.0,71,Japan,toyota corolla 1200,toyota
35.0,72.0,4,69.0,1613,18.0,71,Japan,datsun 1200,datsun
27.0,97.0,4,60.0,1834,19.0,71,Europe,volkswagen model 111,volkswagen
26.0,91.0,4,70.0,1955,20.5,71,USA,plymouth cricket,plymouth
24.0,113.0,4,95.0,2278,15.5,72,Japan,toyota corona hardtop,toyota
25.0,97.5,4,80.0,2126,17.0,72,USA,dodge colt hardtop,dodge
23.0,97.0,4,54.0,2254,23.5,72,Europe,volkswagen type 3,volkswagen
20.0,140.0,4,90.0,2408,19.5,72,USA,chevrolet vega,chevrolet
21.0,122.0,4,86.0,2226,16.5,72,USA,ford pinto runabout,ford
13.0,350.0,8,165.0,4274,12.0,72,USA,chevrolet impala,chevrolet
14.0,400.0,8,175.0,4385,12.0,72,USA,pontiac catalina,pontiac
15.0,318.0,8,150.0,4135,13.5,72,USA,plymouth fury iii,plymouth
14.0,351.0,8,153.0,4129,13.0,72,USA,ford galaxie 500,ford
